Area Codes,All Ages
E06000047,"519,695"
E01020634,"1,521"
E01020635,"1,307"
E01020636,"1,748"
E01020654,"1,845"
E01020676,"1,491"
E01020613,"1,399"
E01020614,"1,379"
E01020622,"1,611"
E01020623,"1,462"
E01020627,"1,502"
E01020628,"1,800"
E01020629,"1,491"
E01020655,"2,048"
E01020656,"1,484"
E01020657,"1,533"
E01020661,"1,964"
E01020662,"1,817"
E01020663,"1,915"
E01020674,"1,533"
E01020678,"1,359"
E01020606,"1,462"
E01020615,"1,795"
E01020616,"1,715"
E01020617,"1,985"
E01020626,"1,579"
E01020638,"1,537"
E01020639,"1,697"
E01020653,"1,558"
E01020677,"1,469"
E01020596,"1,659"
E01020597,"1,453"
E01020598,"1,773"
E01020611,"1,346"
E01020612,"1,614"
E01020647,"2,164"
E01020648,"2,100"
E01020649,"1,590"
E01020673,"1,573"
E01020675,"1,778"
E01020624,"1,524"
E01020625,"1,714"
E01020670,"1,481"
E01020671,"1,294"
E01020672,"1,753"
E01020632,"1,787"
E01020640,"2,407"
E01020641,"2,181"
E01020642,"1,344"
E01020643,"2,157"
E01020667,"1,520"
E01020592,"1,532"
E01020593,"1,250"
E01020599,"1,695"
E01020601,"1,479"
E01020602,"1,812"
E01020618,"1,814"
E01020650,"2,437"
E01020651,"1,761"
E01020652,"2,043"
E01020668,"1,407"
E01020669,"1,465"
E01020594,"1,644"
E01020595,"1,735"
E01020600,"1,502"
E01020603,"1,799"
E01020605,"1,778"
E01020630,"1,393"
E01020631,"1,653"
E01020637,"1,638"
E01020644,"3,028"
E01020645,"1,541"
E01020590,"1,320"
E01020591,"1,475"
E01020608,"1,832"
E01020609,"1,341"
E01020610,"1,470"
E01020750,"1,183"
E01020781,"1,125"
E01020786,"1,565"
E01020787,"1,796"
E01033163,"2,150"
E01033202,"1,173"
E01020740,"1,402"
E01020741,"1,236"
E01020742,"1,681"
E01020782,"1,263"
E01020783,"1,273"
E01020784,"1,532"
E01020743,"1,463"
E01020747,"1,277"
E01020748,"1,331"
E01020749,"1,353"
E01020773,"1,376"
E01020775,"1,775"
E01020604,"1,414"
E01020607,"1,699"
E01020619,"1,552"
E01020620,"1,640"
E01020621,"2,015"
E01020633,"1,673"
E01020664,"1,411"
E01020665,"1,401"
E01020666,"1,424"
E01020776,"1,852"
E01033161,"1,635"
E01033198,"1,604"
E01033205,"1,506"
E01033206,"1,579"
E01020709,"2,781"
E01020717,"1,565"
E01020718,"1,426"
E01020719,"1,228"
E01020721,"1,149"
E01020708,"1,192"
E01020710,"1,697"
E01020711,"1,809"
E01020720,"1,439"
E01020646,"1,519"
E01020658,"1,856"
E01020659,"1,461"
E01020660,"1,624"
E01020751,"1,855"
E01020752,"1,078"
E01020754,"1,353"
E01020756,"1,358"
E01020679,"1,537"
E01020680,"1,716"
E01020681,"1,512"
E01020714,"1,528"
E01020716,"1,732"
E01020725,"1,473"
E01020726,"1,310"
E01020727,"1,142"
E01020729,"2,106"
E01020730,"1,663"
E01020731,"1,451"
E01020682,"1,792"
E01020683,"1,594"
E01020690,"1,322"
E01020691,"1,335"
E01020692,"1,392"
E01020693,"1,451"
E01020722,"2,091"
E01020723,"1,778"
E01020724,"1,713"
E01020703,"2,620"
E01033164,"2,008"
E01033195,"1,192"
E01033197,"3,147"
E01033221,"3,890"
E01020705,"1,569"
E01020706,"1,848"
E01020715,"2,535"
E01020745,"1,321"
E01020753,"1,918"
E01020757,"1,131"
E01020758,"1,413"
E01020759,"1,216"
E01020765,"1,656"
E01020684,"2,576"
E01020702,"2,550"
E01020704,"2,261"
E01020712,"1,731"
E01020713,"2,204"
E01020760,"1,654"
E01020761,"1,434"
E01020762,"1,532"
E01020763,"1,896"
E01020733,"1,230"
E01020734,"1,223"
E01020735,"1,426"
E01020770,"1,207"
E01020771,"1,027"
E01020780,"1,166"
E01020764,"1,164"
E01020766,"1,398"
E01020767,"1,772"
E01020768,"1,597"
E01020746,"1,152"
E01020769,"1,289"
E01020777,"1,419"
E01020778,"1,136"
E01020779,"1,641"
E01020685,"1,650"
E01020686,"1,600"
E01020687,"1,384"
