Period,Dosage_per_1000,Prescriptions_per_1000,Total_cost_per_1000,Generic_cost_per_1000
201008,17821.387296961904,5.208307263432965,351.4120731348547,264.9248156806453
201009,4280.586717345217,5.382934981743123,377.8945288976037,284.52672806052465
201010,5617.1798049322315,5.3540616066147,346.0252146056637,255.83377657652366
201011,19084.106000179436,5.395878824486217,353.23114757844223,260.85124224623
201012,20452.696461503696,5.520768465932816,383.1744324717698,280.66820963594796
201101,18069.87472291788,5.352797079236813,344.3094313246511,252.56129827199348
201102,17863.76189165015,5.26334933013155,333.67813675543925,244.00178077068003
201103,20677.49327177152,5.516641189074434,386.2068188268948,282.1005382162216
201104,19050.709668924806,5.274413944688062,343.1028804194942,247.65874002948692
201105,19092.081617859796,5.41096533861962,369.0894856673638,266.47514960456544
201106,20463.672975152076,5.461528870854855,364.77235582978403,263.37285596090027
201107,21001.065122847995,5.438539060609658,354.7218945135125,256.7693554224488
201108,20578.662729831354,5.452132729921944,362.4793319586166,261.6551748350482
201109,21779.220423728344,5.533905500358643,374.00631410132974,270.1305887960869
201110,5618.620625966014,5.484255237896326,338.52741852759874,242.54292697236738
201111,5495.980684349253,5.707128188248927,369.24700169581865,268.8043026035794
201112,5454.4596512451135,5.77562342121781,388.2921720012248,281.83613660612
201201,4651.317513359731,5.692550997642728,368.90867265388806,271.0465253167426
201202,21016.189282065046,5.679958412504602,362.7767054175816,265.73980954707287
201203,5773.364659401289,5.808659198965111,396.5136611371175,290.0759770199548
201204,20791.5439480034,5.63698204453669,364.0921091226005,265.6790774584314
201205,5129.160857398608,5.821146406821746,404.95167968664435,295.2659342348465
201206,5573.559217037215,5.681468820205968,373.91605213709676,271.24559599801
201207,6427.059265095236,5.770793629149492,398.5125425923993,291.8312778352991
201208,5450.445930720749,5.785283005354448,413.6652617591872,302.02714592535295
201209,5044.940041160265,5.719843713548791,385.10548485413176,281.1056602370543
201210,5897.543042681084,5.8816856550380905,395.8155968879214,284.14550308861703
201211,5521.341559906645,5.885865620537217,392.7227578695795,281.6432722954751
201212,5472.381793081182,5.876346539442568,391.74923003015806,279.58635535618396
201301,5097.412194600697,5.898124510950623,399.54283172886767,288.73003392498646
201302,4356.5707443731235,5.730399004578099,364.18776429610136,262.6050971096434
201303,4867.899913464388,5.854972514180226,393.62275800832646,283.5909482952494
201304,24010.33775087377,5.869532141906176,401.72354291276423,290.53142851954277
201305,5410.456723404447,5.916161588965762,423.7077416245304,306.5464866871877
201306,4523.701378975626,5.812768912943244,391.17467603379356,281.9758823367111
201307,4587.096881938606,5.926787131516064,429.1784550036115,309.8985436315248
201308,4728.532910813598,5.844891420917626,418.759020580692,301.13165066538966
201309,23982.086401535085,5.853602609520848,403.6459127340169,290.97851253609406
201310,4695.0055096755705,6.006645548005683,424.77164224996056,304.44261415815106
201311,5257.645348817383,5.9689380441123,409.5721526061851,292.9974964641093
201312,4853.838001812179,6.021855002300826,426.75461366765467,305.2316186500154
201401,6146.208694508111,6.0388383075010585,428.6694467301072,308.39548230733914
201402,23427.779445810836,5.875187389346171,388.3372608324291,278.91848415693835
201403,25778.327187076466,6.0195542649882805,420.1868242604984,301.62128234000204
201404,26125.001897633723,5.963879934600752,414.2156492323294,297.02989776524487
201405,4829.521904054897,6.0419118115445345,432.77910485828113,310.1274676966384
201406,5420.4519874419075,6.000112156553267,413.73334847956136,296.14680541131355
201407,5537.856008025502,6.1164135495583825,456.72398962462273,328.9185375480944
201408,5360.48611420122,5.959120394053427,426.66879282894956,306.19959486299103
201409,27265.263502749294,6.089981414784493,440.77733624111397,318.0186067827247
201410,4973.208581619039,6.191828557345149,469.5600979720688,340.2512875830491
